Район,Конкурс,Год,Количество участников,Средний балл,Необходимые знания
Район3,Экология_ШЭ,2024,127,31.95,Углубленное изучение экологических процессов и их динамики.
Район3,Экология_МЭ,2024,8,7.17,Анализ современных экологических проблем и их решений.
Район3,Экология_РЭ,2024,146,30.42,Работа с экологическими моделями и прогнозами.
Район3,Экология_ЗЭ,2024,110,26.36,Современные достижения в экологии.
Район3,Экономика_ШЭ,2023,214,43.92,"Основы экономики, знание ключевых понятий и терминов."
Район3,Экономика_МЭ,2023,136,28.81,Изучение экономических систем и их особенностей.
Район3,Экономика_РЭ,2023,14,15.18,Анализ экономических данных и показателей.
Район3,Экономика_ЗЭ,2023,77,19.26,"История экономики, влияние на общество."
Район3,Экономика_ШЭ,2024,223,44.83,Углубленное изучение макро- и микроэкономики.
Район3,Экономика_МЭ,2024,4,13.45,Анализ современных экономических проблем и их решений.
Район3,Экономика_РЭ,2024,50,17.99,Работа с экономическими моделями и прогнозами.
Район3,Экономика_ЗЭ,2024,53,16.69,Современные достижения в экономике.
Район3,Олимпиада им. Дж.К. Максвелла по физике_РЭ,2023,43,11.87,Общие знания
Район3,Олимпиада им. Дж.К. Максвелла по физике_ЗЭ,2023,215,37.89,Общие знания
Район3,Олимпиада им. Дж.К. Максвелла по физике_РЭ,2024,53,18.97,Общие знания
Район3,Олимпиада им. Дж.К. Максвелла по физике_ЗЭ,2024,182,34.43,Общие знания
Район3,Олимпиада им. В.Я. Струве по астрономии_РЭ,2023,98,25.93,Общие знания
Район3,Олимпиада им. В.Я. Струве по астрономии_ЗЭ,2023,18,15.47,Общие знания
Район3,Олимпиада им. В.Я. Струве по астрономии_РЭ,2024,238,45.54,Общие знания
Район3,Олимпиада им. В.Я. Струве по астрономии_ЗЭ,2024,201,36.74,Общие знания
Район3,Олимпиада им. Л.Эйлера по математике_РЭ,2023,115,31.66,Общие знания
Район3,Олимпиада им. Л.Эйлера по математике_ЗЭ,2023,125,24.95,Общие знания
Район3,Олимпиада им. Л.Эйлера по математике_ЗЭ,2024,86,21.61,Общие знания
Район3,Олимпиада им. М. Келдыша по информатике_РЭ,2023,228,47.09,Общие знания
Район3,Олимпиада им. М. Келдыша по информатике_ЗЭ,2023,5,13.66,Общие знания
Район3,Олимпиада им. М. Келдыша по информатике_РЭ,2024,238,48.16,Общие знания
Район3,Олимпиада им. М. Келдыша по информатике_ЗЭ,2024,10,8.04,Общие знания
Район4,Английский язык_ШЭ,2023,34,13.86,"Знание основ английского языка, включая грамматику, базовый словарный запас, навыки устной речи и аудирования."
Район4,Английский язык_МЭ,2023,96,26.27,"Разговорный английский на среднем уровне, навыки общения в различных ситуациях."
Район4,Английский язык_РЭ,2023,19,13.84,"Чтение и глубокое понимание сложных текстов, написание эссе."
Район4,Английский язык_ЗЭ,2023,182,36.02,"Письмо и составление различных текстов, включая деловую переписку."
Район4,Английский язык_ШЭ,2024,52,22.72,"Углубленное знание грамматики, расширенный словарный запас, навыки ведения диалогов на различные темы."
Район4,Английский язык_МЭ,2024,186,40.0,"Разговорный английский на высоком уровне, анализ текстов и их интерпретация."
Район4,Английский язык_РЭ,2024,193,35.17,"Критическое чтение, написание научных работ и эссе."
Район4,Английский язык_ЗЭ,2024,57,20.68,"Создание резюме и сопроводительных писем, навыки редактирования."
Район4,Астрономия_ШЭ,2023,55,16.67,"Основы астрономии, знание планет и звезд, работа с телескопом."
Район4,Астрономия_МЭ,2023,178,38.48,"Астрономические наблюдения, работа с астрономическими картами."
Район4,Астрономия_РЭ,2023,64,21.21,"Астрономические расчеты, понимание законов движения небесных тел."
Район4,Астрономия_ЗЭ,2023,218,43.46,"История астрономии, влияние астрономии на культуру."
Район4,Астрономия_ШЭ,2024,131,27.15,"Углубленное изучение астрономических явлений, работа с современными телескопами."
Район4,Астрономия_МЭ,2024,202,44.11,"Анализ данных астрономических наблюдений, изучение звездных систем."
Район4,Астрономия_ЗЭ,2024,123,32.0,Современные достижения в астрономии и космонавтике.
Район4,Биология_ШЭ,2023,74,16.74,"Основы биологии, экология, анатомия."
Район4,Биология_МЭ,2023,177,40.2,"Изучение экосистем, взаимодействие организмов."
Район4,Биология_РЭ,2023,12,13.77,"Анализ биологических данных, работа с микроскопом."
Район4,Биология_ЗЭ,2023,138,34.32,"История биологии, влияние на медицину."
Район4,Биология_ШЭ,2024,215,41.22,Углубленное изучение клеточной биологии и генетики.
Район4,Биология_МЭ,2024,162,34.12,Изучение биологических процессов на молекулярном уровне.
Район4,География_ШЭ,2023,135,27.89,"Знание географии, карты, страны и столицы."
Район4,География_МЭ,2023,85,24.03,"Экономическая география, влияние человека на природу."
Район4,География_РЭ,2023,42,12.65,"Географические исследования, работа с картами."
Район4,География_ЗЭ,2023,227,43.78,"История географии, влияние на культуру."
Район4,География_ШЭ,2024,194,39.09,Углубленное изучение физической и экономической географии.
Район4,География_МЭ,2024,76,24.18,Анализ природных ресурсов и их использование.
Район4,География_РЭ,2024,130,25.84,Работа с геоинформационными системами (ГИС).
Район4,География_ЗЭ,2024,162,32.51,Современные достижения в географии.
Район4,Информатика_ШЭ,2023,97,26.57,"Основы программирования, работа с данными."
Район4,Информатика_МЭ,2023,1,6.37,"Разработка программного обеспечения, работа с базами данных."
Район4,Информатика_РЭ,2023,91,25.58,Анализ и оптимизация алгоритмов.
Район4,Информатика_ЗЭ,2023,173,35.13,"История информатики, влияние технологий на общество."
Район4,Информатика_ШЭ,2024,86,19.96,Углубленное изучение алгоритмов и структур данных.
Район4,Информатика_МЭ,2024,67,21.74,Создание веб-приложений и работа с API.
Район4,Информатика_РЭ,2024,230,47.1,Машинное обучение и работа с большими данными.
Район4,Искусство_ШЭ,2023,43,19.73,Общие знания
Район4,Искусство_МЭ,2023,190,43.36,Общие знания
Район4,Искусство_РЭ,2023,184,41.14,Общие знания
Район4,Искусство_ШЭ,2024,46,19.47,Общие знания
Район4,Искусство_МЭ,2024,83,24.82,Общие знания
Район4,Искусство_РЭ,2024,183,40.91,Общие знания
Район4,Искусство_ЗЭ,2024,121,25.34,Общие знания
Район4,История_ШЭ,2023,249,43.37,"Основы истории, знание ключевых событий и дат."
Район4,История_МЭ,2023,240,41.0,Изучение исторических процессов и их влияния на современность.
Район4,История_РЭ,2023,131,25.59,Анализ исторических источников и документов.
Район4,История_ЗЭ,2023,44,17.84,"История культуры и искусства, влияние на общество."
Район4,История_ШЭ,2024,184,38.13,Углубленное изучение мировой истории и ее этапов.
Район4,История_МЭ,2024,143,33.9,Анализ исторических событий с разных точек зрения.
Район4,История_РЭ,2024,14,16.28,Работа с архивными материалами и историческими документами.
Район4,История_ЗЭ,2024,247,46.17,Современные подходы к изучению истории.
Район4,Испанский язык_ШЭ,2023,241,41.42,Общие знания
Район4,Испанский язык_МЭ,2023,13,15.59,Общие знания
Район4,Испанский язык_РЭ,2023,145,31.21,Общие знания
Район4,Испанский язык_ЗЭ,2023,227,46.73,Общие знания
Район4,Испанский язык_ШЭ,2024,117,24.03,Общие знания
Район4,Испанский язык_МЭ,2024,192,41.94,Общие знания
Район4,Испанский язык_РЭ,2024,106,27.6,Общие знания
Район4,Испанский язык_ЗЭ,2024,131,25.37,Общие знания
Район4,Итальянский язык_ШЭ,2023,48,18.14,Общие знания
Район4,Итальянский язык_МЭ,2023,45,20.75,Общие знания
Район4,Итальянский язык_РЭ,2023,94,26.43,Общие знания
Район4,Итальянский язык_ЗЭ,2023,154,33.71,Общие знания
Район4,Итальянский язык_ШЭ,2024,174,34.15,Общие знания
Район4,Итальянский язык_МЭ,2024,208,41.95,Общие знания
Район4,Итальянский язык_РЭ,2024,181,41.07,Общие знания
Район4,Итальянский язык_ЗЭ,2024,111,24.22,Общие знания
Район4,Китайский язык_ШЭ,2023,217,40.66,Общие знания
Район4,Китайский язык_МЭ,2023,179,32.79,Общие знания
Район4,Китайский язык_РЭ,2023,7,7.06,Общие знания
Район4,Китайский язык_ЗЭ,2023,177,41.51,Общие знания
Район4,Китайский язык_ШЭ,2024,202,38.14,Общие знания
Район4,Китайский язык_МЭ,2024,41,15.91,Общие знания
Район4,Китайский язык_РЭ,2024,140,27.55,Общие знания
Район4,Китайский язык_ЗЭ,2024,243,48.83,Общие знания
Район4,Литература_ШЭ,2023,152,29.07,"Основы литературного анализа, знание классических произведений."
Район4,Литература_РЭ,2023,32,12.82,"Анализ литературных произведений, написание критических отзывов."
Район4,Литература_ШЭ,2024,168,35.25,Углубленное изучение литературных течений и направлений.
Район4,Литература_МЭ,2024,7,6.81,Анализ современных произведений и их контекста.
Район4,Литература_РЭ,2024,54,13.33,Создание собственных литературных произведений.
Район4,Литература_ЗЭ,2024,80,24.68,Современные достижения в литературе.
Район4,Математика_ШЭ,2023,78,20.03,Общие знания
Район4,Математика_МЭ,2023,75,20.87,Общие знания
Район4,Математика_РЭ,2023,218,41.6,Общие знания
Район4,Математика_ЗЭ,2023,249,49.83,Общие знания
Район4,Математика_ШЭ,2024,50,19.8,Общие знания
Район4,Математика_РЭ,2024,15,9.13,Общие знания
Район4,Математика_ЗЭ,2024,45,21.36,Общие знания
Район4,Немецкий язык_ШЭ,2023,206,42.89,Общие знания
Район4,Немецкий язык_МЭ,2023,239,48.32,Общие знания
Район4,Немецкий язык_РЭ,2023,120,23.36,Общие знания
Район4,Немецкий язык_ЗЭ,2023,77,18.95,Общие знания
Район4,Немецкий язык_ШЭ,2024,100,21.09,Общие знания
Район4,Немецкий язык_МЭ,2024,55,17.11,Общие знания
Район4,Немецкий язык_РЭ,2024,110,27.38,Общие знания
Район4,Немецкий язык_ЗЭ,2024,93,25.4,Общие знания
Район4,Обществознание_ШЭ,2023,130,28.03,Общие знания
Район4,Обществознание_МЭ,2023,10,8.2,Общие знания
Район4,Обществознание_РЭ,2023,194,40.83,Общие знания
Район4,Обществознание_ЗЭ,2023,69,20.28,Общие знания
Район4,Обществознание_ШЭ,2024,76,19.65,Общие знания
Район4,Обществознание_МЭ,2024,10,8.16,Общие знания
Район4,Обществознание_РЭ,2024,49,16.9,Общие знания
Район4,Обществознание_ЗЭ,2024,43,14.6,Общие знания
Район4,Основы безопасности жизнедеятельности_ШЭ,2023,160,32.68,Общие знания
Район4,Основы безопасности жизнедеятельности_МЭ,2023,98,22.97,Общие знания
Район4,Основы безопасности жизнедеятельности_РЭ,2023,248,43.0,Общие знания
Район4,Основы безопасности жизнедеятельности_ЗЭ,2023,173,36.67,Общие знания
Район4,Основы безопасности жизнедеятельности_ШЭ,2024,159,37.94,Общие знания
Район4,Основы безопасности жизнедеятельности_МЭ,2024,33,11.47,Общие знания
Район4,Основы безопасности жизнедеятельности_РЭ,2024,165,37.23,Общие знания
Район4,Основы безопасности жизнедеятельности_ЗЭ,2024,247,43.97,Общие знания
Район4,Право_ШЭ,2023,96,21.26,Общие знания
Район4,Право_МЭ,2023,114,28.52,Общие знания
Район4,Право_РЭ,2023,117,24.19,Общие знания
Район4,Право_ЗЭ,2023,222,44.58,Общие знания
Район4,Право_ШЭ,2024,95,20.38,Общие знания
Район4,Право_МЭ,2024,97,28.43,Общие знания
Район4,Право_РЭ,2024,78,23.55,Общие знания
Район4,Право_ЗЭ,2024,164,33.41,Общие знания
Район4,Русский язык_ШЭ,2023,94,22.19,Общие знания
Район4,Русский язык_МЭ,2023,39,16.1,Общие знания
Район4,Русский язык_РЭ,2023,161,29.36,Общие знания
Район4,Русский язык_ЗЭ,2023,244,43.43,Общие знания
Район4,Русский язык_ШЭ,2024,150,32.53,Общие знания
Район4,Русский язык_МЭ,2024,41,20.65,Общие знания
Район4,Русский язык_РЭ,2024,37,11.47,Общие знания
Район4,Русский язык_ЗЭ,2024,100,23.78,Общие знания
Район4,Технология_ШЭ,2023,148,29.92,Общие знания
Район4,Технология_МЭ,2023,20,14.97,Общие знания
Район4,Технология_РЭ,2023,207,45.84,Общие знания
Район4,Технология_ШЭ,2024,91,23.12,Общие знания
Район4,Технология_МЭ,2024,238,50.26,Общие знания
Район4,Технология_РЭ,2024,153,30.15,Общие знания
Район4,Технология_ЗЭ,2024,77,22.31,Общие знания
Район4,Физика_ШЭ,2023,162,31.28,"Основы физики, механика, термодинамика."
Район4,Физика_МЭ,2023,161,36.68,"Экспериментальные методы, анализ физических явлений."
Район4,Физика_РЭ,2023,73,22.27,"Решение задач, работа с физическими формулами."
Район4,Физика_ЗЭ,2023,29,13.76,"История физики, влияние на технологии."
Район4,Физика_ШЭ,2024,6,6.7,Углубленное изучение квантовой физики и теории относительности.
Район4,Физика_МЭ,2024,168,35.63,Применение законов физики в реальных задачах.
Район4,Физика_РЭ,2024,228,45.38,Исследование физических процессов на высоком уровне.
Район4,Физика_ЗЭ,2024,1,12.14,Современные достижения в физике.
Район4,Физическая культура_ШЭ,2023,241,50.25,Общие знания
Район4,Физическая культура_МЭ,2023,169,37.46,Общие знания
Район4,Физическая культура_РЭ,2023,156,32.63,Общие знания
Район4,Физическая культура_ЗЭ,2023,200,39.81,Общие знания
Район4,Физическая культура_ШЭ,2024,105,25.01,Общие знания
Район4,Физическая культура_МЭ,2024,17,7.64,Общие знания
Район4,Физическая культура_РЭ,2024,247,46.34,Общие знания
Район4,Физическая культура_ЗЭ,2024,179,40.66,Общие знания
Район4,Французский язык_ШЭ,2023,5,13.9,Общие знания
Район4,Французский язык_МЭ,2023,71,24.66,Общие знания
Район4,Французский язык_РЭ,2023,20,16.23,Общие знания
Район4,Французский язык_ЗЭ,2023,239,41.92,Общие знания
Район4,Французский язык_ШЭ,2024,157,36.66,Общие знания
Район4,Французский язык_МЭ,2024,105,22.48,Общие знания
Район4,Французский язык_РЭ,2024,129,32.82,Общие знания
Район4,Французский язык_ЗЭ,2024,206,38.82,Общие знания
Район4,Химия_ШЭ,2023,7,8.15,"Основы химии, химические реакции, периодическая таблица."
Район4,Химия_МЭ,2023,40,17.27,"Лабораторные методы, анализ химических веществ."
Район4,Химия_РЭ,2023,220,41.45,"Решение химических задач, работа с формулами."
Район4,Химия_ЗЭ,2023,37,20.17,"История химии, влияние на медицину."
Район4,Химия_МЭ,2024,57,20.02,Применение химических знаний в повседневной жизни.
Район4,Химия_РЭ,2024,56,20.35,Работа с химическими реакциями и их механизмами.
Район4,Экология_ШЭ,2023,247,44.58,"Основы экологии, знание экосистем и их компонентов."
Район4,Экология_МЭ,2023,218,40.47,Изучение взаимодействия организмов и окружающей среды.
Район4,Экология_РЭ,2023,231,47.73,Анализ экологических данных и проблем.
Район4,Экология_ЗЭ,2023,188,39.47,"История экологии, влияние на общество."
Район4,Экология_ШЭ,2024,233,43.02,Углубленное изучение экологических процессов и их динамики.
Район4,Экология_МЭ,2024,166,30.66,Анализ современных экологических проблем и их решений.
Район4,Экология_РЭ,2024,97,28.25,Работа с экологическими моделями и прогнозами.
Район4,Экология_ЗЭ,2024,120,30.7,Современные достижения в экологии.
Район4,Экономика_ШЭ,2023,222,43.68,"Основы экономики, знание ключевых понятий и терминов."
Район4,Экономика_МЭ,2023,134,30.93,Изучение экономических систем и их особенностей.
Район4,Экономика_РЭ,2023,48,19.91,Анализ экономических данных и показателей.
Район4,Экономика_ЗЭ,2023,30,12.0,"История экономики, влияние на общество."
Район4,Экономика_ШЭ,2024,98,24.97,Углубленное изучение макро- и микроэкономики.
Район4,Экономика_МЭ,2024,18,7.96,Анализ современных экономических проблем и их решений.
Район4,Экономика_РЭ,2024,227,42.59,Работа с экономическими моделями и прогнозами.
Район4,Олимпиада им. Дж.К. Максвелла по физике_РЭ,2023,92,27.5,Общие знания
Район4,Олимпиада им. Дж.К. Максвелла по физике_ЗЭ,2023,124,26.92,Общие знания
Район4,Олимпиада им. Дж.К. Максвелла по физике_РЭ,2024,123,26.69,Общие знания
Район4,Олимпиада им. Дж.К. Максвелла по физике_ЗЭ,2024,62,18.21,Общие знания
Район4,Олимпиада им. В.Я. Струве по астрономии_РЭ,2023,211,37.62,Общие знания
Район4,Олимпиада им. В.Я. Струве по астрономии_ЗЭ,2023,54,21.33,Общие знания
Район4,Олимпиада им. В.Я. Струве по астрономии_РЭ,2024,6,6.48,Общие знания
Район4,Олимпиада им. В.Я. Струве по астрономии_ЗЭ,2024,250,52.46,Общие знания
Район4,Олимпиада им. Л.Эйлера по математике_РЭ,2023,76,25.25,Общие знания
Район4,Олимпиада им. Л.Эйлера по математике_РЭ,2024,111,26.51,Общие знания
Район4,Олимпиада им. Л.Эйлера по математике_ЗЭ,2024,214,44.18,Общие знания
Район4,Олимпиада им. М. Келдыша по информатике_РЭ,2023,30,15.07,Общие знания
Район4,Олимпиада им. М. Келдыша по информатике_ЗЭ,2023,29,18.22,Общие знания
Район4,Олимпиада им. М. Келдыша по информатике_РЭ,2024,236,49.72,Общие знания
Район4,Олимпиада им. М. Келдыша по информатике_ЗЭ,2024,110,30.31,Общие знания
Район5,Английский язык_ШЭ,2023,61,20.39,"Знание основ английского языка, включая грамматику, базовый словарный запас, навыки устной речи и аудирования."
Район5,Английский язык_МЭ,2023,142,34.75,"Разговорный английский на среднем уровне, навыки общения в различных ситуациях."
Район5,Английский язык_РЭ,2023,176,35.55,"Чтение и глубокое понимание сложных текстов, написание эссе."
Район5,Английский язык_ЗЭ,2023,77,17.91,"Письмо и составление различных текстов, включая деловую переписку."
Район5,Английский язык_ШЭ,2024,195,36.62,"Углубленное знание грамматики, расширенный словарный запас, навыки ведения диалогов на различные темы."
Район5,Английский язык_МЭ,2024,60,19.16,"Разговорный английский на высоком уровне, анализ текстов и их интерпретация."
Район5,Английский язык_РЭ,2024,26,14.53,"Критическое чтение, написание научных работ и эссе."
Район5,Английский язык_ЗЭ,2024,233,45.23,"Создание резюме и сопроводительных писем, навыки редактирования."
Район5,Астрономия_ШЭ,2023,10,15.63,"Основы астрономии, знание планет и звезд, работа с телескопом."
Район5,Астрономия_МЭ,2023,98,28.93,"Астрономические наблюдения, работа с астрономическими картами."
Район5,Астрономия_РЭ,2023,150,27.93,"Астрономические расчеты, понимание законов движения небесных тел."
Район5,Астрономия_ЗЭ,2023,26,12.71,"История астрономии, влияние астрономии на культуру."
Район5,Астрономия_ШЭ,2024,9,15.33,"Углубленное изучение астрономических явлений, работа с современными телескопами."
Район5,Астрономия_МЭ,2024,217,46.04,"Анализ данных астрономических наблюдений, изучение звездных систем."
Район5,Астрономия_РЭ,2024,113,26.42,"Понимание астрофизики, работа с астрономическими моделями."
Район5,Астрономия_ЗЭ,2024,110,31.34,Современные достижения в астрономии и космонавтике.
Район5,Биология_ШЭ,2023,172,38.78,"Основы биологии, экология, анатомия."
Район5,Биология_МЭ,2023,185,38.49,"Изучение экосистем, взаимодействие организмов."
Район5,Биология_РЭ,2023,76,20.3,"Анализ биологических данных, работа с микроскопом."
Район5,Биология_ЗЭ,2023,68,24.61,"История биологии, влияние на медицину."
Район5,Биология_ШЭ,2024,67,19.63,Углубленное изучение клеточной биологии и генетики.
Район5,Биология_МЭ,2024,143,30.82,Изучение биологических процессов на молекулярном уровне.
Район5,Биология_РЭ,2024,176,33.11,"Работа с биоинформатикой, анализ генетических данных."
Район5,Биология_ЗЭ,2024,176,34.46,Современные достижения в биологии и биотехнологиях.
Район5,География_МЭ,2023,50,16.94,"Экономическая география, влияние человека на природу."
Район5,География_РЭ,2023,54,18.83,"Географические исследования, работа с картами."
Район5,География_ЗЭ,2023,233,43.62,"История географии, влияние на культуру."
Район5,География_МЭ,2024,36,15.56,Анализ природных ресурсов и их использование.
Район5,География_РЭ,2024,2,9.48,Работа с геоинформационными системами (ГИС).
Район5,Информатика_ШЭ,2023,48,22.18,"Основы программирования, работа с данными."
Район5,Информатика_МЭ,2023,90,23.65,"Разработка программного обеспечения, работа с базами данных."
Район5,Информатика_РЭ,2023,7,16.03,Анализ и оптимизация алгоритмов.
Район5,Информатика_ЗЭ,2023,249,46.82,"История информатики, влияние технологий на общество."
Район5,Информатика_ШЭ,2024,58,14.94,Углубленное изучение алгоритмов и структур данных.
Район5,Информатика_МЭ,2024,140,32.24,Создание веб-приложений и работа с API.
Район5,Информатика_РЭ,2024,248,42.97,Машинное обучение и работа с большими данными.
Район5,Информатика_ЗЭ,2024,23,14.02,Современные достижения в области информатики.
Район5,Искусство_ШЭ,2023,56,14.24,Общие знания
Район5,Искусство_МЭ,2023,113,25.93,Общие знания
Район5,Искусство_РЭ,2023,161,30.33,Общие знания
Район5,Искусство_ЗЭ,2023,121,25.34,Общие знания
Район5,Искусство_ШЭ,2024,96,21.51,Общие знания
Район5,Искусство_МЭ,2024,46,20.16,Общие знания
Район5,Искусство_РЭ,2024,185,34.87,Общие знания
Район5,История_ШЭ,2023,152,32.61,"Основы истории, знание ключевых событий и дат."
Район5,История_МЭ,2023,65,21.6,Изучение исторических процессов и их влияния на современность.
Район5,История_РЭ,2023,206,37.21,Анализ исторических источников и документов.
Район5,История_ЗЭ,2023,84,24.11,"История культуры и искусства, влияние на общество."
Район5,История_ШЭ,2024,128,27.07,Углубленное изучение мировой истории и ее этапов.
Район5,История_МЭ,2024,117,22.81,Анализ исторических событий с разных точек зрения.
Район5,История_РЭ,2024,41,12.99,Работа с архивными материалами и историческими документами.
Район5,История_ЗЭ,2024,156,35.67,Современные подходы к изучению истории.
Район5,Испанский язык_ШЭ,2023,189,33.63,Общие знания
Район5,Испанский язык_МЭ,2023,135,33.98,Общие знания
Район5,Испанский язык_РЭ,2023,30,14.97,Общие знания
Район5,Испанский язык_ЗЭ,2023,141,32.16,Общие знания
Район5,Испанский язык_ШЭ,2024,128,26.81,Общие знания
Район5,Испанский язык_МЭ,2024,83,18.24,Общие знания
Район5,Испанский язык_РЭ,2024,20,17.02,Общие знания
Район5,Испанский язык_ЗЭ,2024,197,39.38,Общие знания
Район5,Итальянский язык_ШЭ,2023,155,31.19,Общие знания
Район5,Итальянский язык_МЭ,2023,16,14.05,Общие знания
Район5,Итальянский язык_РЭ,2023,140,30.37,Общие знания
Район5,Итальянский язык_ЗЭ,2023,137,27.34,Общие знания
Район5,Итальянский язык_МЭ,2024,101,20.59,Общие знания
Район5,Итальянский язык_РЭ,2024,22,8.78,Общие знания
Район5,Итальянский язык_ЗЭ,2024,92,27.8,Общие знания
Район5,Китайский язык_ШЭ,2023,212,41.45,Общие знания
Район5,Китайский язык_МЭ,2023,125,24.02,Общие знания
Район5,Китайский язык_ЗЭ,2023,47,17.69,Общие знания
Район5,Китайский язык_ШЭ,2024,104,21.75,Общие знания
Район5,Китайский язык_МЭ,2024,213,41.32,Общие знания
Район5,Китайский язык_РЭ,2024,58,17.87,Общие знания
Район5,Китайский язык_ЗЭ,2024,54,18.28,Общие знания
Район5,Литература_ШЭ,2023,87,21.66,"Основы литературного анализа, знание классических произведений."
Район5,Литература_МЭ,2023,124,31.06,Изучение различных жанров и стилей литературы.
Район5,Литература_РЭ,2023,190,37.0,"Анализ литературных произведений, написание критических отзывов."
Район5,Литература_ЗЭ,2023,87,23.85,"История литературы, влияние на культуру."
Район5,Литература_ШЭ,2024,240,50.68,Углубленное изучение литературных течений и направлений.
Район5,Литература_МЭ,2024,240,46.67,Анализ современных произведений и их контекста.
Район5,Литература_РЭ,2024,148,31.91,Создание собственных литературных произведений.
Район5,Литература_ЗЭ,2024,234,48.03,Современные достижения в литературе.
Район5,Математика_ШЭ,2023,209,37.77,Общие знания
Район5,Математика_МЭ,2023,180,34.64,Общие знания
Район5,Математика_РЭ,2023,84,24.46,Общие знания
Район5,Математика_ЗЭ,2023,100,24.37,Общие знания
Район5,Математика_ШЭ,2024,143,31.17,Общие знания
Район5,Математика_МЭ,2024,122,23.57,Общие знания
Район5,Математика_РЭ,2024,167,32.51,Общие знания
Район5,Математика_ЗЭ,2024,90,24.81,Общие знания
Район5,Немецкий язык_ШЭ,2023,117,24.31,Общие знания
Район5,Немецкий язык_МЭ,2023,196,43.81,Общие знания
Район5,Немецкий язык_РЭ,2023,56,17.24,Общие знания
Район5,Немецкий язык_ЗЭ,2023,32,19.57,Общие знания
Район5,Немецкий язык_ШЭ,2024,64,19.93,Общие знания
Район5,Немецкий язык_МЭ,2024,158,34.7,Общие знания
Район5,Немецкий язык_РЭ,2024,64,21.27,Общие знания
Район5,Обществознание_ШЭ,2023,140,33.4,Общие знания
Район5,Обществознание_МЭ,2023,139,31.36,Общие знания
Район5,Обществознание_РЭ,2023,153,37.63,Общие знания
Район5,Обществознание_ЗЭ,2023,144,31.29,Общие знания
Район5,Обществознание_ШЭ,2024,220,46.17,Общие знания
Район5,Обществознание_МЭ,2024,46,18.19,Общие знания
Район5,Обществознание_РЭ,2024,246,42.53,Общие знания
Район5,Обществознание_ЗЭ,2024,63,18.2,Общие знания
Район5,Основы безопасности жизнедеятельности_ШЭ,2023,117,27.89,Общие знания
Район5,Основы безопасности жизнедеятельности_МЭ,2023,190,35.73,Общие знания
Район5,Основы безопасности жизнедеятельности_РЭ,2023,245,45.8,Общие знания
Район5,Основы безопасности жизнедеятельности_ЗЭ,2023,197,43.01,Общие знания
Район5,Основы безопасности жизнедеятельности_ШЭ,2024,65,15.65,Общие знания
Район5,Основы безопасности жизнедеятельности_МЭ,2024,98,19.74,Общие знания
Район5,Основы безопасности жизнедеятельности_РЭ,2024,14,14.48,Общие знания
Район5,Основы безопасности жизнедеятельности_ЗЭ,2024,106,24.06,Общие знания
Район5,Право_ШЭ,2023,171,35.33,Общие знания
Район5,Право_МЭ,2023,92,20.46,Общие знания
Район5,Право_РЭ,2023,227,43.44,Общие знания
Район5,Право_ЗЭ,2023,138,26.88,Общие знания
Район5,Право_ШЭ,2024,80,22.05,Общие знания
Район5,Право_МЭ,2024,157,32.24,Общие знания
Район5,Право_РЭ,2024,69,20.48,Общие знания
Район5,Право_ЗЭ,2024,159,29.9,Общие знания
Район5,Русский язык_ШЭ,2023,121,30.55,Общие знания
Район5,Русский язык_МЭ,2023,55,19.23,Общие знания
Район5,Русский язык_РЭ,2023,25,10.96,Общие знания
Район5,Русский язык_ЗЭ,2023,161,30.04,Общие знания
Район5,Русский язык_ШЭ,2024,43,11.78,Общие знания
Район5,Русский язык_РЭ,2024,10,8.3,Общие знания
Район5,Русский язык_ЗЭ,2024,36,12.25,Общие знания
Район5,Технология_ШЭ,2023,166,38.75,Общие знания
Район5,Технология_МЭ,2023,145,31.96,Общие знания
Район5,Технология_РЭ,2023,128,27.18,Общие знания
Район5,Технология_ЗЭ,2023,172,34.25,Общие знания
Район5,Технология_ШЭ,2024,176,37.3,Общие знания
Район5,Технология_МЭ,2024,112,26.18,Общие знания
Район5,Технология_РЭ,2024,240,48.84,Общие знания
Район5,Технология_ЗЭ,2024,66,22.53,Общие знания
Район5,Физика_ШЭ,2023,225,46.69,"Основы физики, механика, термодинамика."
Район5,Физика_МЭ,2023,83,23.84,"Экспериментальные методы, анализ физических явлений."
Район5,Физика_РЭ,2023,28,15.01,"Решение задач, работа с физическими формулами."
Район5,Физика_ЗЭ,2023,79,22.22,"История физики, влияние на технологии."
Район5,Физика_ШЭ,2024,175,38.04,Углубленное изучение квантовой физики и теории относительности.
Район5,Физика_МЭ,2024,30,18.44,Применение законов физики в реальных задачах.
Район5,Физика_ЗЭ,2024,234,48.23,Современные достижения в физике.
Район5,Физическая культура_ШЭ,2023,105,30.25,Общие знания
Район5,Физическая культура_МЭ,2023,97,20.58,Общие знания
Район5,Физическая культура_РЭ,2023,237,47.39,Общие знания
Район5,Физическая культура_ЗЭ,2023,178,35.94,Общие знания
Район5,Физическая культура_ШЭ,2024,167,38.79,Общие знания
Район5,Физическая культура_МЭ,2024,88,22.05,Общие знания
Район5,Физическая культура_ЗЭ,2024,188,33.41,Общие знания
Район5,Французский язык_ШЭ,2023,103,24.23,Общие знания
Район5,Французский язык_МЭ,2023,23,10.82,Общие знания
Район5,Французский язык_РЭ,2023,223,43.8,Общие знания
Район5,Французский язык_ЗЭ,2023,42,21.09,Общие знания
